;WartoϾ
01.10.1993;105,3
01.11.1993;108,5
01.12.1993;109,6
01.01.1994;106,6
01.02.1994;107,3
01.03.1994;109,0
01.04.1994;114,3
01.05.1994;112,7
01.06.1994;116,6
01.07.1994;118,9
01.08.1994;118,7
01.09.1994;121,6
01.10.1994;116,7
01.11.1994;118,7
01.12.1994;117,2
01.01.1995;119,6
01.02.1995;116,7
01.03.1995;117,8
01.04.1995;116,7
01.05.1995;113,3
01.06.1995;122,5
01.07.1995;119,5
01.08.1995;116,7
01.09.1995;111,7
01.10.1995;109,5
01.11.1995;112,8
01.12.1995;114,7
01.01.1996;112,1
01.02.1996;114,7
01.03.1996;109,9
01.04.1996;121,4
01.05.1996;124,2
01.06.1996;110,9
01.07.1996;112,7
01.08.1996;116,0
01.09.1996;112,4
01.10.1996;118,7
01.11.1996;113,1
01.12.1996;102,0
01.01.1997;100,7
01.02.1997;114,0
01.03.1997;112,7
01.04.1997;106,6
01.05.1997;109,3
01.06.1997;109,8
01.07.1997;113,1
01.08.1997;115,1
01.09.1997;107,9
01.10.1997;102,3
01.11.1997;102,0
01.12.1997;112,5
01.01.1998;99,2
01.02.1998;97,5
01.03.1998;99,8
01.04.1998;98,6
01.05.1998;98,8
01.06.1998;100,5
01.07.1998;102,7
01.08.1998;98,4
01.09.1998;95,3
01.10.1998;96,4
01.11.1998;91,6
01.12.1998;92,5
01.01.1999;88,9
01.02.1999;90,3
01.03.1999;90,5
01.04.1999;90,5
01.05.1999;88,4
01.06.1999;89,0
01.07.1999;88,7
01.08.1999;91,3
01.09.1999;92,0
01.10.1999;92,6
01.11.1999;92,8
01.12.1999;99,6
01.01.2000;101,2
01.02.2000;97,0
01.03.2000;100,2
01.04.2000;100,2
01.05.2000;100,3
01.06.2000;101,3
01.07.2000;96,7
01.08.2000;97,9
01.09.2000;97,3
01.10.2000;97,6
01.11.2000;97,3
01.12.2000;95,9
01.01.2001;97,2
01.02.2001;93,7
01.03.2001;94,0
01.04.2001;91,8
01.05.2001;86,4
01.06.2001;88,2
01.07.2001;84,4
01.08.2001;80,9
01.09.2001;85,2
01.10.2001;85,2
01.11.2001;85,3
01.12.2001;83,4
01.01.2002;84,1
01.02.2002;82,1
01.03.2002;84,0
01.04.2002;85,9
01.05.2002;87,6
01.06.2002;85,0
01.07.2002;85,0
01.08.2002;85,6
01.09.2002;88,2
01.10.2002;90,5
01.11.2002;92,1
01.12.2002;89,5
01.01.2003;87,3
01.02.2003;88,8
01.03.2003;87,0
01.04.2003;87,4
01.05.2003;89,6
01.06.2003;91,6
01.07.2003;91,8
01.08.2003;91,9
01.09.2003;91,7
01.10.2003;92,8
01.11.2003;91,8
