;wag;rt;emp;loa;car;pi;cpi;wibor_on;wibor_1m;reer;all_com_pri_ind;m3;pi_ea;pi_germany
1993-01-01;342,8732753;110,574265;5843,263105;22813,85596;8,356099502;35,29587878;32,98949779;19,32;34,77;65,57669626;52,83812157;11972,93106;83,3;77,4
1993-02-01;362,5209749;106,4910075;5839,740224;23363,35867;8,102110673;34,50899634;34,04978895;18,32;33,77;66,93250584;53,72611055;12605,96462;82,5;76,2
1993-03-01;364,6036049;107,6212327;5824,700962;24128,587;8,254748493;34,17245698;34,83235522;15,32;30,77;67,88580945;54,25005214;13293,32263;82,2;76,1
1993-04-01;372,0935177;111,163711;5825,313742;24765,82371;8,405316568;34,14047447;35,4617976;15,32;30,77;67,66337194;54,64628297;14041,69836;81,7;75,5
1993-05-01;384,0767942;113,8987745;5812,321712;25347,64526;8,530765616;33,97927429;36,23462767;15,32;30,77;68,351869;54,76526998;14772,04526;81,5;75,3
1993-06-01;392,5410505;118,1966642;5794,530632;26126,27379;8,728186441;33,87970791;36,99956457;15,32;30,77;68,33068447;53,37362861;15572,73378;81,1;74,9
1993-07-01;402,7033091;104,2219305;5778,107542;26755,34474;8,430927293;35,29841586;38,22239803;15,32;30,77;69,70767858;52,96389179;16406,34049;80,7;73,3
1993-08-01;423,4135518;101,9957287;5764,767087;27503,8633;8,396801197;34,03253841;39,58822891;16,8;31,45;70,01485419;52,53337924;17275,13333;81,7;76,4
1993-09-01;427,3683472;103,010134;5753,439284;28129,69315;8,940309892;34,42796426;40,05656407;15,64;32,36;64,4115474;51,51419982;18225,19644;82,2;76,1
1993-10-01;432,4879017;104,026005;5749,412566;28778,86449;9,274612203;36,561861;40,70575299;14,42;32,48;64,77168432;51,78197839;19143,18622;82,1;76,1
1993-11-01;448,9255905;105,9724482;5739,551085;29229,39879;9,448124022;35,35286792;42,23208095;12,75;32,57;66,13808616;50,47633275;20201,62744;82;75,8
1993-12-01;456,0824428;102,5383104;5741,890938;30107,69696;9,537982163;34,91980614;44,71656815;17,57;32,64;68,65904461;49,31389083;21094,16712;82,1;76,5
1994-01-01;485,3467003;103,8422437;5669,166369;30840,04954;9,795950793;36,17652452;44,58891692;22,64;32,57;68,98389649;50,35490793;22454,11851;82,3;75,9
1994-02-01;494,2527681;106,9431518;5645,763226;31514,39283;9,846559505;35,75886327;45,01574407;13,25;32,34;68,22585623;50,69438287;23640,79931;83,5;77,2
1994-03-01;520,7291087;109,5929136;5640,118227;32035,99466;9,84900455;36,02225684;45,97469043;17,15;31,01;67,83872324;50,53111809;24929,93048;83,5;76,7
1994-04-01;520,8197107;99,55678153;5626,788594;32569,4067;9,879782101;35,73784513;47,13104614;15,57;31,54;68,29068307;52,59123185;26334,12885;85;77,7
1994-05-01;541,3881361;99,51929256;5616,226178;33141,11135;10,12437319;36,94077297;48,05480862;12,81;30,55;67,73440637;54,85258107;27703,2093;84,8;77,4
1994-06-01;559,4521113;98,78232113;5604,882709;33756,33296;10,38537176;37,39307177;49,41527438;11,53;30,67;67,88315472;56,59238258;29204,96346;85,3;77,7
1994-07-01;575,449656;99,18615229;5617,999745;34408,49891;10,62856313;35,60538553;51,00711358;12,21;30,11;66,99389937;57,86989748;30768,25963;85,5;77,4
1994-08-01;579,873724;102,9574487;5618,317957;34725,07886;10,82085213;35,58056063;52,3988055;12,15;29,58;66,82632612;56,59290384;32397,34797;85,7;77,5
1994-09-01;603,2818199;102,9025389;5621,64846;35305,35692;10,96755268;35,99520899;54,19783775;18,78;29,91;68,44167866;56,68316035;34179,69393;86,1;78,5
1994-10-01;621,3129831;101,545114;5613,094994;36080,74473;11,12362614;37,09818455;55,64104558;25,13;29,55;69,21050158;56,94113301;35899,95981;87,1;80
1994-11-01;633,5114733;102,4573688;5626,126927;36985,60608;11,39161316;37,49993729;56,57944351;25,6;29,1;69,48613892;57,90465084;37885,74615;87,7;79,9
